run,type,module,name,attrname,attrvalue,value
General-11-20240428-16:41:48-11298,runattr,,,configname,General,
General-11-20240428-16:41:48-11298,runattr,,,datetime,20240428-16:41:48,
General-11-20240428-16:41:48-11298,runattr,,,datetimef,20240428-164148,
General-11-20240428-16:41:48-11298,runattr,,,experiment,General,
General-11-20240428-16:41:48-11298,runattr,,,inifile,omnetpp.ini,
General-11-20240428-16:41:48-11298,runattr,,,iterationvars,$0=false,
General-11-20240428-16:41:48-11298,runattr,,,iterationvarsd,false,
General-11-20240428-16:41:48-11298,runattr,,,iterationvarsf,false-,
General-11-20240428-16:41:48-11298,runattr,,,measurement,$0=false,
General-11-20240428-16:41:48-11298,runattr,,,network,Supermarket,
General-11-20240428-16:41:48-11298,runattr,,,processid,11298,
General-11-20240428-16:41:48-11298,runattr,,,repetition,1,
General-11-20240428-16:41:48-11298,runattr,,,replication,#1,
General-11-20240428-16:41:48-11298,runattr,,,resultdir,results,
General-11-20240428-16:41:48-11298,runattr,,,runnumber,11,
General-11-20240428-16:41:48-11298,runattr,,,seedset,1,
General-11-20240428-16:41:48-11298,config,,,network,Supermarket,
General-11-20240428-16:41:48-11298,config,,,repeat,10,
General-11-20240428-16:41:48-11298,config,,,seed-set,1,
General-11-20240428-16:41:48-11298,config,,,num-rngs,10,
General-11-20240428-16:41:48-11298,config,,,**.use_random_strategy,false,
General-10-20240428-16:41:48-11298,runattr,,,configname,General,
General-10-20240428-16:41:48-11298,runattr,,,datetime,20240428-16:41:48,
General-10-20240428-16:41:48-11298,runattr,,,datetimef,20240428-164148,
General-10-20240428-16:41:48-11298,runattr,,,experiment,General,
General-10-20240428-16:41:48-11298,runattr,,,inifile,omnetpp.ini,
General-10-20240428-16:41:48-11298,runattr,,,iterationvars,$0=false,
General-10-20240428-16:41:48-11298,runattr,,,iterationvarsd,false,
General-10-20240428-16:41:48-11298,runattr,,,iterationvarsf,false-,
General-10-20240428-16:41:48-11298,runattr,,,measurement,$0=false,
General-10-20240428-16:41:48-11298,runattr,,,network,Supermarket,
General-10-20240428-16:41:48-11298,runattr,,,processid,11298,
General-10-20240428-16:41:48-11298,runattr,,,repetition,0,
General-10-20240428-16:41:48-11298,runattr,,,replication,#0,
General-10-20240428-16:41:48-11298,runattr,,,resultdir,results,
General-10-20240428-16:41:48-11298,runattr,,,runnumber,10,
General-10-20240428-16:41:48-11298,runattr,,,seedset,0,
General-10-20240428-16:41:48-11298,config,,,network,Supermarket,
General-10-20240428-16:41:48-11298,config,,,repeat,10,
General-10-20240428-16:41:48-11298,config,,,seed-set,0,
General-10-20240428-16:41:48-11298,config,,,num-rngs,10,
General-10-20240428-16:41:48-11298,config,,,**.use_random_strategy,false,
General-12-20240428-16:41:48-11297,runattr,,,configname,General,
General-12-20240428-16:41:48-11297,runattr,,,datetime,20240428-16:41:48,
General-12-20240428-16:41:48-11297,runattr,,,datetimef,20240428-164148,
General-12-20240428-16:41:48-11297,runattr,,,experiment,General,
General-12-20240428-16:41:48-11297,runattr,,,inifile,omnetpp.ini,
General-12-20240428-16:41:48-11297,runattr,,,iterationvars,$0=false,
General-12-20240428-16:41:48-11297,runattr,,,iterationvarsd,false,
General-12-20240428-16:41:48-11297,runattr,,,iterationvarsf,false-,
General-12-20240428-16:41:48-11297,runattr,,,measurement,$0=false,
General-12-20240428-16:41:48-11297,runattr,,,network,Supermarket,
