run,repetition,module,name,value
General-10-20240428-16:41:48-11298,0,Supermarket,custTotalWaitingTime:sum,19433.41491268
General-11-20240428-16:41:48-11298,1,Supermarket,custTotalWaitingTime:sum,18741.279186768
General-12-20240428-16:41:48-11297,2,Supermarket,custTotalWaitingTime:sum,20185.17294528
General-13-20240428-16:41:48-11297,3,Supermarket,custTotalWaitingTime:sum,18957.96762081
General-14-20240428-16:41:48-11297,4,Supermarket,custTotalWaitingTime:sum,19274.350957369
General-15-20240428-16:41:48-11297,5,Supermarket,custTotalWaitingTime:sum,18664.296632508
General-16-20240428-16:41:48-11318,6,Supermarket,custTotalWaitingTime:sum,18883.658077903
General-17-20240428-16:41:49-11318,7,Supermarket,custTotalWaitingTime:sum,19305.287017799
General-18-20240428-16:41:49-11318,8,Supermarket,custTotalWaitingTime:sum,19241.352605714
General-19-20240428-16:41:49-11318,9,Supermarket,custTotalWaitingTime:sum,19208.570249048
General-1-20240428-16:41:48-11296,1,Supermarket,custTotalWaitingTime:sum,42590.099960833
General-2-20240428-16:41:48-11296,2,Supermarket,custTotalWaitingTime:sum,41984.352811325
General-3-20240428-16:41:49-11296,3,Supermarket,custTotalWaitingTime:sum,40812.396832161
General-4-20240428-16:41:48-11295,4,Supermarket,custTotalWaitingTime:sum,35823.639931042
General-5-20240428-16:41:48-11295,5,Supermarket,custTotalWaitingTime:sum,37919.111855517
General-6-20240428-16:41:48-11295,6,Supermarket,custTotalWaitingTime:sum,39279.046607166
General-7-20240428-16:41:49-11295,7,Supermarket,custTotalWaitingTime:sum,40766.117052198
General-8-20240428-16:41:48-11298,8,Supermarket,custTotalWaitingTime:sum,38827.563332407
General-9-20240428-16:41:48-11298,9,Supermarket,custTotalWaitingTime:sum,39703.744123639
